time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.034592,0.03472,0.03464712,0.034656,3.072369769412571e-05,,,,,,8192,64,8,2,131072,1,32,1120,True,FLASH_ATTENTION
0.034592,0.034752000000000005,0.034689059999999994,0.034688000000000004,3.50230838162494e-05,,,,,,8192,64,8,2,131072,1,32,1152,True,FLASH_ATTENTION
0.036288,0.036416,0.036362099999999994,0.036351999999999995,2.9576510950415312e-05,,,,,,8192,64,8,2,131072,1,32,1184,True,FLASH_ATTENTION
0.036288,0.036448,0.0363888,0.036385,3.1984996482726586e-05,,,,,,8192,64,8,2,131072,1,32,1216,True,FLASH_ATTENTION
0.038015,0.038113,0.03806647999999999,0.038079,2.9469468946690187e-05,,,,,,8192,64,8,2,131072,1,32,1248,True,FLASH_ATTENTION
0.038016,0.038144,0.03809368,0.038111,2.720252929416646e-05,,,,,,8192,64,8,2,131072,1,32,1280,True,FLASH_ATTENTION
0.03968,0.03984000000000001,0.03976000000000001,0.039776000000000006,3.577708763999772e-05,,,,,,8192,64,8,2,131072,1,32,1312,True,FLASH_ATTENTION
0.039712000000000004,0.03984000000000001,0.039784240000000005,0.039776000000000006,3.125159835912477e-05,,,,,,8192,64,8,2,131072,1,32,1344,True,FLASH_ATTENTION
0.041407,0.041536000000000003,0.041466800000000005,0.041472,2.89772324420401e-05,,,,,,8192,64,8,2,131072,1,32,1376,True,FLASH_ATTENTION
0.04144,0.041568,0.041499520000000005,0.041504,2.9983488789665776e-05,,,,,,8192,64,8,2,131072,1,32,1408,True,FLASH_ATTENTION
0.043072000000000006,0.043201,0.043162900000000004,0.043168,3.405187219522549e-05,,,,,,8192,64,8,2,131072,1,32,1440,True,FLASH_ATTENTION
0.043104,0.043232,0.043184280000000005,0.043199,2.8782661447476076e-05,,,,,,8192,64,8,2,131072,1,32,1472,True,FLASH_ATTENTION
0.0448,0.044927999999999996,0.04487276,0.044864,2.935476792618034e-05,,,,,,8192,64,8,2,131072,1,32,1504,True,FLASH_ATTENTION
0.044831,0.04496,0.04491018,0.0449115,3.1441812924829793e-05,,,,,,8192,64,8,2,131072,1,32,1536,True,FLASH_ATTENTION
0.046495,0.046624000000000006,0.04656128,0.046560000000000004,3.0710936162872025e-05,,,,,,8192,64,8,2,131072,1,32,1568,True,FLASH_ATTENTION
0.046207000000000005,0.046656,0.04645532,0.046558999999999996,0.00015921575801408687,,,,,,8192,64,8,2,131072,1,32,1600,True,FLASH_ATTENTION
0.04784000000000001,0.047968000000000004,0.04790032,0.047904,2.9122802062988037e-05,,,,,,8192,64,8,2,131072,1,32,1632,True,FLASH_ATTENTION
0.047872,0.048,0.04792617999999999,0.047935000000000005,2.8076103718287617e-05,,,,,,8192,64,8,2,131072,1,32,1664,True,FLASH_ATTENTION
0.049504,0.049696,0.04959742,0.049600000000000005,3.6729873400270733e-05,,,,,,8192,64,8,2,131072,1,32,1696,True,FLASH_ATTENTION
0.049536000000000004,0.049696,0.04961918,0.049601,3.313408516920082e-05,,,,,,8192,64,8,2,131072,1,32,1728,True,FLASH_ATTENTION
0.051231000000000006,0.051328000000000006,0.05127734000000002,0.051264000000000004,2.6485928339403032e-05,,,,,,8192,64,8,2,131072,1,32,1760,True,FLASH_ATTENTION
0.0512,0.05139200000000001,0.05130312,0.051296,2.95564815226719e-05,,,,,,8192,64,8,2,131072,1,32,1792,True,FLASH_ATTENTION
0.052895000000000005,0.053024,0.0529555,0.05296,3.3872260036791494e-05,,,,,,8192,64,8,2,131072,1,32,1824,True,FLASH_ATTENTION
0.052896,0.053055,0.0529756,0.052991,3.5690895197515534e-05,,,,,,8192,64,8,2,131072,1,32,1856,True,FLASH_ATTENTION
0.054592,0.054752,0.05463736000000001,0.054624000000000006,3.332732212464661e-05,,,,,,8192,64,8,2,131072,1,32,1888,True,FLASH_ATTENTION
0.054591,0.05472,0.05466902,0.054687,3.0836660000719835e-05,,,,,,8192,64,8,2,131072,1,32,1920,True,FLASH_ATTENTION
0.056255000000000006,0.056479999999999995,0.056329279999999995,0.05632,4.0143263444817066e-05,,,,,,8192,64,8,2,131072,1,32,1952,True,FLASH_ATTENTION
0.056257,0.056417,0.05635493999999999,0.056352,3.6177567635208046e-05,,,,,,8192,64,8,2,131072,1,32,1984,True,FLASH_ATTENTION
0.057952,0.05808,0.05800943999999999,0.058016,3.668686958572601e-05,,,,,,8192,64,8,2,131072,1,32,2016,True,FLASH_ATTENTION
0.005343,0.0054080000000000005,0.00536636,0.005376000000000001,2.3254040509124393e-05,,,,,,8192,64,8,2,131072,1,64,64,True,FLASH_ATTENTION
0.007456000000000001,0.007585,0.0075320199999999995,0.007536,3.716906778492e-05,,,,,,8192,64,8,2,131072,1,64,128,True,FLASH_ATTENTION
0.00912,0.00928,0.00921094,0.009216,4.3009026959465253e-05,,,,,,8192,64,8,2,131072,1,64,192,True,FLASH_ATTENTION
0.010784,0.011007999999999999,0.01090236,0.010896000000000001,5.212207210002292e-05,,,,,,8192,64,8,2,131072,1,64,256,True,FLASH_ATTENTION
0.012480000000000002,0.012672000000000001,0.01258038,0.012576,3.995391845614142e-05,,,,,,8192,64,8,2,131072,1,64,320,True,FLASH_ATTENTION
0.014176000000000001,0.014337,0.014273899999999999,0.014272,4.461894216585577e-05,,,,,,8192,64,8,2,131072,1,64,384,True,FLASH_ATTENTION
