time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.005311,0.006048,0.005390680000000001,0.005376000000000001,9.881020999876478e-05,,,,,,8192,64,8,1,131072,1,32,32,True,FLASH_ATTENTION
0.005344000000000001,0.00544,0.005398380000000001,0.0054080000000000005,1.9489371462415063e-05,,,,,,8192,64,8,1,131072,1,32,64,True,FLASH_ATTENTION
0.007456000000000001,0.007647999999999999,0.007561020000000001,0.007553,4.381209422065988e-05,,,,,,8192,64,8,1,131072,1,32,96,True,FLASH_ATTENTION
0.007488000000000001,0.007712,0.007608900000000001,0.0076159999999999995,5.405376952627818e-05,,,,,,8192,64,8,1,131072,1,32,128,True,FLASH_ATTENTION
0.009215,0.009375999999999999,0.009301640000000002,0.0093115,3.8239644349810695e-05,,,,,,8192,64,8,1,131072,1,32,160,True,FLASH_ATTENTION
0.009216,0.009408,0.00933246,0.009344,4.438612846374407e-05,,,,,,8192,64,8,1,131072,1,32,192,True,FLASH_ATTENTION
0.010944,0.011104,0.011021940000000001,0.011007999999999999,3.2106329594022316e-05,,,,,,8192,64,8,1,131072,1,32,224,True,FLASH_ATTENTION
0.010944,0.011136,0.01105276,0.0110715,4.384452531388602e-05,,,,,,8192,64,8,1,131072,1,32,256,True,FLASH_ATTENTION
0.012671,0.012832000000000001,0.012751760000000001,0.012767,4.4973129755444004e-05,,,,,,8192,64,8,1,131072,1,32,288,True,FLASH_ATTENTION
0.012736,0.012864,0.012795380000000002,0.0128,3.785334331337188e-05,,,,,,8192,64,8,1,131072,1,32,320,True,FLASH_ATTENTION
0.014400000000000001,0.014529,0.01447098,0.014464000000000001,3.9096030489040606e-05,,,,,,8192,64,8,1,131072,1,32,352,True,FLASH_ATTENTION
0.014432,0.01456,0.01450286,0.014496,3.842447657418354e-05,,,,,,8192,64,8,1,131072,1,32,384,True,FLASH_ATTENTION
0.016064000000000002,0.01632,0.01619454,0.016192,5.467072708497648e-05,,,,,,8192,64,8,1,131072,1,32,416,True,FLASH_ATTENTION
0.016127,0.01632,0.01621688,0.016224,4.848490074239588e-05,,,,,,8192,64,8,1,131072,1,32,448,True,FLASH_ATTENTION
0.017824000000000003,0.017984000000000003,0.01790322,0.017888,3.7966453613684506e-05,,,,,,8192,64,8,1,131072,1,32,480,True,FLASH_ATTENTION
0.017824000000000003,0.01808,0.017947440000000002,0.017952000000000003,5.723011794501163e-05,,,,,,8192,64,8,1,131072,1,32,512,True,FLASH_ATTENTION
0.019488,0.019776000000000002,0.01961986,0.019616500000000002,5.486274145538111e-05,,,,,,8192,64,8,1,131072,1,32,544,True,FLASH_ATTENTION
0.019551,0.019808,0.0196528,0.019648,5.2936188000270485e-05,,,,,,8192,64,8,1,131072,1,32,576,True,FLASH_ATTENTION
0.021247000000000002,0.021504000000000002,0.021345080000000002,0.021344000000000002,5.5151007243748835e-05,,,,,,8192,64,8,1,131072,1,32,608,True,FLASH_ATTENTION
0.021279,0.02144,0.021365520000000006,0.021376000000000003,4.183694061472498e-05,,,,,,8192,64,8,1,131072,1,32,640,True,FLASH_ATTENTION
0.022943,0.023264,0.02305056,0.023039999999999998,5.856010928951518e-05,,,,,,8192,64,8,1,131072,1,32,672,True,FLASH_ATTENTION
0.022944,0.023232,0.02307694,0.023072,5.451840423196562e-05,,,,,,8192,64,8,1,131072,1,32,704,True,FLASH_ATTENTION
0.024672,0.024864,0.024758179999999998,0.024768000000000002,4.34486777704459e-05,,,,,,8192,64,8,1,131072,1,32,736,True,FLASH_ATTENTION
0.024672,0.024928000000000002,0.024786360000000004,0.024768000000000002,5.4737833351348596e-05,,,,,,8192,64,8,1,131072,1,32,768,True,FLASH_ATTENTION
0.026143,0.026336,0.026216060000000003,0.026208,4.4849263093165774e-05,,,,,,8192,64,8,1,131072,1,32,800,True,FLASH_ATTENTION
0.026143,0.026432,0.026249480000000002,0.02624,5.329361687857205e-05,,,,,,8192,64,8,1,131072,1,32,832,True,FLASH_ATTENTION
0.02784,0.028064000000000002,0.02792032,0.0279195,4.2979734759534916e-05,,,,,,8192,64,8,1,131072,1,32,864,True,FLASH_ATTENTION
0.02784,0.028095,0.02793716,0.027936,4.6054906361862804e-05,,,,,,8192,64,8,1,131072,1,32,896,True,FLASH_ATTENTION
0.029535000000000002,0.029791,0.029613720000000003,0.0296,5.0065173524117997e-05,,,,,,8192,64,8,1,131072,1,32,928,True,FLASH_ATTENTION
