time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.005311,0.005984,0.00536116,0.005344000000000001,9.25862538393253e-05,,,,,,4096,32,8,1,131072,1,32,32,True,FLASH_ATTENTION
0.005312000000000001,0.0054080000000000005,0.005366879999999999,0.005376000000000001,2.5628609014146648e-05,,,,,,4096,32,8,1,131072,1,32,64,True,FLASH_ATTENTION
0.007424000000000001,0.0076159999999999995,0.00751672,0.00752,4.618832752979874e-05,,,,,,4096,32,8,1,131072,1,32,96,True,FLASH_ATTENTION
0.0075190000000000005,0.0076159999999999995,0.00756716,0.007583,2.5790975165743486e-05,,,,,,4096,32,8,1,131072,1,32,128,True,FLASH_ATTENTION
0.009119,0.009311999999999999,0.00922424,0.009216,4.284463093550935e-05,,,,,,4096,32,8,1,131072,1,32,160,True,FLASH_ATTENTION
0.009151999999999999,0.009344,0.00925998,0.009248,4.4327639233327076e-05,,,,,,4096,32,8,1,131072,1,32,192,True,FLASH_ATTENTION
0.010879,0.010976000000000001,0.010934800000000001,0.0109435,2.7944230173687004e-05,,,,,,4096,32,8,1,131072,1,32,224,True,FLASH_ATTENTION
0.010879,0.01104,0.01097828,0.010976000000000001,4.236462675393167e-05,,,,,,4096,32,8,1,131072,1,32,256,True,FLASH_ATTENTION
0.012575,0.012704000000000002,0.012657700000000001,0.012671,2.8066528107338437e-05,,,,,,4096,32,8,1,131072,1,32,288,True,FLASH_ATTENTION
0.012639,0.012768000000000002,0.01269466,0.012702999999999999,3.259730663720564e-05,,,,,,4096,32,8,1,131072,1,32,320,True,FLASH_ATTENTION
0.014271,0.014432,0.01436574,0.014368,4.263792208820688e-05,,,,,,4096,32,8,1,131072,1,32,352,True,FLASH_ATTENTION
0.014367000000000001,0.014464000000000001,0.014409839999999998,0.014400000000000001,3.159199898708525e-05,,,,,,4096,32,8,1,131072,1,32,384,True,FLASH_ATTENTION
0.016031,0.01616,0.01608498,0.0160955,2.835735530686803e-05,,,,,,4096,32,8,1,131072,1,32,416,True,FLASH_ATTENTION
0.016032,0.016192,0.016114240000000002,0.016127,3.39473474663338e-05,,,,,,4096,32,8,1,131072,1,32,448,True,FLASH_ATTENTION
0.017727,0.017856,0.017796140000000002,0.017792000000000002,2.8663572701253303e-05,,,,,,4096,32,8,1,131072,1,32,480,True,FLASH_ATTENTION
